Physiological Pathway,Functional Ortholog,Symbol,EC,Module,KO,Reaction,# MAGs,Unassembled reads,,,,,
,Phosphoenolpyruvate carboxylase,ppc,4.1.1.31,,K01595,R00345,23,NA,,,,,
,Pyruvate carboxylase,"PC, pyc",6.4.1.1,,K01958,R00344,22,NA,,,,,
,Pyruvate carboxylase subunit A,pycA,6.4.1.1,,K01959,R00344,10,NA,,,,,
,Pyruvate carboxylase subunit B,pycB,,,K01960,,46,NA,,,,,
,Malate dehydrogenase,mdh,1.1.1.37,,K00024,R00342,45,NA,,,,,
,"Fumarate hydratase, class I","fumA, fumB",4.2.1.2,,K01676,R01082,31,NA,,,,,
,Fumarate hydratase subunit alpha ,fumA,4.2.1.2,,K01677,R01082,31,NA,,,,,
,Fumarate hydratase subunit beta ,fumB,,,K01678,,32,NA,,,,,
,"Fumarate hydratase, class II","fumC, FH",4.2.1.2,,K01679,R01082,52,NA,,,,,
,Succinate dehydrogenase flavoprotein subunit,"sdhA, frdA",1.3.5.1,,K00239," 	R02164",54,NA,,,,,
,Succinate dehydrogenase iron-sulfur subunit,"sdhB, frdB",,,K00240,,51,NA,,,,,
,NADH-dependent fumarate reductase subunit A,frdA,1.3.1.6,,K18556,R00402,0,NA,,,,,
,NADH-dependent fumarate reductase subunit B,frdB,,,K18557,,0,NA,,,,,
,NADH-dependent fumarate reductase subunit C,frdC,NA,,K18558,,0,NA,,,,,
,NADH-dependent fumarate reductase subunit D,frdD,NA,,K18559,,2,NA,,,,,
,NADH-dependent fumarate reductase subunit E,frdE,NA,,K18560,,3,NA,,,,,
,Succinyl-CoA synthetase alpha subunit,sucD,6.2.1.5,,K01902,R00405,56,NA,,,,,
,Succinyl-CoA synthetase beta subunit,sucC,,,K01903,,54,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,"korA, oorA , oforA","1.2.7.3, 1.2.7.11",,K00174,R01197,31,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,"korB, oorB, oforB",,,K00175,,47,NA,,,,,
,Isocitrate dehydrogenase,"IDH1, IDH2, icd",1.1.1.42,,K00031,R00267,57,NA,,,,,
,Aconitate hydratase,ACO,4.2.1.3,,K01681,R01900 ? R01325,55,NA,,,,,
,Aconitate hydratase 2 / 2-methylisocitrate dehydratase,acnB,"4.2.1.3, 4.2.1.99",,K01682,R01900 ? R01325,23,NA,,,,,
,Aconitate hydratase A / 2-methylisocitrate dehydratase,acnA,"4.2.1.3, 4.2.1.99",,K27802,R01900 ? R01325,0,NA,,,,,
,ATP-citrate lyase alpha-subunit,aclA,2.3.3.8,,K15230,R00352,2,NA,,,,,
,ATP-citrate lyase beta-subunit,aclB,,,K15231,,2,NA,,,,,
,Citryl-CoA synthetase large subunit,ccsA,6.2.1.8,,K15232,R01322,2,NA,,,,,
,Citryl-CoA synthetase small subunit,ccsB,NA,,K15233,,2,NA,,,,,
,Citryl-CoA lyase,ccl,4.1.3.34,,K15234,R00354,7,NA,,,,,
Reductive pentose phosphate (Calvin) cycle ,Phosphoribulokinase ,"PRK, prkB",2.7.1.19,M00165,K00855,R01523,13,NA,,,,,
,Ribulose-bisphosphate carboxylase large chain,"rbcL, cbbL",4.1.1.39,,K01601,R00024,16,NA,,,,,
,Phosphoglycerate kinase,pgk,2.7.2.3,,K00927,R01512,62,NA,,,,,
,Glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating),gapA,1.2.1.13,,"K05298
 
","R01061,
R01063",0,NA,,,,,
,,"gap2, gapB",1.2.1.59,,K00150,,9,NA,,,,,
,Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ,"GAPDH, gapA",1.2.1.12,,K00134,,61,NA,,,,,
,Triosephosphate isomerase (TIM),"TPI, tpiA",5.3.1.1,,K01803,R01015,42,NA,,,,,
,"Fructose-bisphosphate aldolase, class I",ALDO,4.1.2.13,,"K01623, 
K01624","R01068, R01829",21,NA,,,,,
,"fructose-bisphosphate aldolase, class II","FBA, fbaA",,,,,43,NA,,,,,
,"Fructose-1,6-bisphosphatase I ","FBP, fbp",3.1.3.11,,"K03841, 
K02446, 
K11532, 
K01086",R00762,30,NA,,,,,
,"Fructose-1,6-bisphosphatase II",glpX,,,,,24,NA,,,,,
,"Fructose-1,6-bisphosphatase I / Sedoheptulose-1,7-bisphosphatase",fbp-SEBP,"3.1.3.11, 
3.1.3.37",,,,22,NA,,,,,
,,,,,,,7,NA,,,,,
,Transketolase,"tktA, tktB",2.2.1.1,,K00615,R01067,61,NA,,,,,
,Sedoheptulose-bisphosphatase,E3.1.3.37,3.1.3.37,,"K01100, 
K11532, 
K01086",R01845,0,NA,,,,,
,"Fructose-1,6-bisphosphatase I / Sedoheptulose-1,7-bisphosphatase",fbp-SEBP,"3.1.3.11, 
3.1.3.37",,,,22,NA,,,,,
,,,,,,,7,NA,,,,,
,Ribose 5-phosphate isomerase A,rpiA,5.3.1.6,,K01807,R01056,36,NA,,,,,
,Ribose 5-phosphate isomerase B,rpiB,,,K01808,,35,NA,,,,,
,Ribulose-phosphate 3-epimerase ,rpe,5.1.3.1,,K01783,R01529,0,NA,,,,,
Hydroxypropionate-hydroxybutylate cycle,Acetyl-CoA/propionyl-CoA carboxylase,K01964,"6.4.1.2, 6.4.1.3",M00375,K01964,R00742,2,NA,,,,,
,Biotin carboxyl carrier protein,K15037,NA,,K15037,,0,NA,,,,,
,Acetyl-CoA/propionyl-CoA carboxylase,K15036,"6.4.1.2, 6.4.1.3,
2.1.3.15",,K15036,,0,NA,,,,,
,Malonyl-CoA/succinyl-CoA reductase (NADPH),K15017,"1.2.1.75, 1.2.1.76",,K15017,R00740,0,NA,,,,,
,3-hydroxypropionate dehydrogenase (NADP+),K15039,1.1.1.298,,K15039,R09289,0,NA,,,,,
,3-hydroxypropionyl-coenzyme A synthetase,K15018,6.2.1.36,,K15018,R09286,2,NA,,,,,
,3-hydroxypropionyl-coenzyme A dehydratase,K15019,4.2.1.116,,K15019,R03045,0,NA,,,,,
,Acryloyl-coenzyme A reductase,K15020,1.3.1.84,,K15020,R00919,0,NA,,,,,
,Methylmalonyl-CoA/ethylmalonyl-CoA epimerase,"MCEE, epi",5.1.99.1,,K05606,R02765 ,37,NA,,,,,
,"Methylmalonyl-CoA mutase, N-terminal domain",mcmA1,5.4.99.2,,K01848,R08833,5,NA,,,,,
,"Methylmalonyl-CoA mutase, C-terminal domain",mcmA2,,,K01849,,15,NA,,,,,
,Succinyl-CoA reductase,K15038,1.2.1.76,,"K15038, K15017",R09280,0,NA,,,,,
,Malonyl-CoA/succinyl-CoA reductase (NADPH),K15017,"1.2.1.75, 1.2.1.76",,,,0,NA,,,,,
,Succinate semialdehyde reductase (NADPH),K14465,1.1.1.-,,K14465,R09281,0,NA,,,,,
,4-hydroxybutyrate---CoA ligase (AMP-forming),K14466,6.2.1.40,,"K14466, K18861, K25774",R09279 ,2,NA,,,,,
,,K18861,,,,,0,NA,,,,,
,,K25774,,,,,0,NA,,,,,
,4-Hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase,abfD,"4.2.1.120, 5.3.3.3",,K14534,R10782,1,NA,,,,,
,Enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase,K15016,"4.2.1.17, 1.1.1.35",,K15016,R01975,1,NA,,,,,
,Acetyl-CoA C-acetyltransferase,"ACAT, atoB",2.3.1.9,,K00626,R00238,53,NA,,,,,
Dicarboxylate-hydroxybutyrate cycle,Pyruvate ferredoxin oxidoreductase alpha subunit,porA,1.2.7.1,M00374,K00169,R01196 ,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase beta subunit,porB,,,K00170,,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase delta subunit,porD,,,K00171,,7,NA,,,,,
,Pyruvate ferredoxin oxidoreductase gamma subunit,"porC, porG",,,K00172,,11,NA,,,,,
,"Pyruvate, water dikinase","pps, ppsA",2.7.9.2,,K01007,R00199,43,NA,,,,,
,Phosphoenolpyruvate carboxylase,ppc,4.1.1.31,,K01595,R00345,23,NA,,,,,
,Malate dehydrogenase,mdh,1.1.1.37,,K00024,R00342,45,NA,,,,,
,Fumarate hydratase subunit alpha ,fumA,4.2.1.2,,K01677,R01082,31,NA,,,,,
,Fumarate hydratase subunit beta ,fumB,,,K01678,,32,NA,,,,,
,Succinate dehydrogenase flavoprotein subunit,"sdhA, frdA",1.3.5.1,,K00239,R02164,54,NA,,,,,
,Succinate dehydrogenase iron-sulfur subunit ,"sdhB, frdB",,,K00240,,51,NA,,,,,
,Succinyl-CoA synthetase alpha subunit,sucD,6.2.1.5,,K01902,R00405,56,NA,,,,,
,Succinyl-CoA synthetase beta subunit,sucC,,,K01903,,54,NA,,,,,
,Succinyl-CoA reductase,K15038,1.2.1.76,,K15038,R09280,0,NA,,,,,
,Malonyl-CoA/succinyl-CoA reductase (NADPH),K15017,"1.2.1.75, 1.2.1.76",,K15017,,0,NA,,,,,
,Succinate semialdehyde reductase (NADPH),K14465,1.1.1.-,,K14465,R09281,0,NA,,,,,
,4-Hydroxybutyrate---CoA ligase (AMP-forming),4hbl,6.2.1.40,,K14467,R09279 ,2,NA,,,,,
,,K18861,,,K18861,,0,NA,,,,,
,,K25774,,,K25774,,0,NA,,,,,
,4-Hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase,abfD,"4.2.1.120, 5.3.3.3",,K14534,R10782,1,NA,,,,,
,Enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase ,K15016,"4.2.1.17, 1.1.1.35",,K15016,R01975,1,NA,,,,,
,Acetyl-CoA C-acetyltransferase,"ACAT, atoB",2.3.1.9,,K00626,R00238,53,NA,,,,,
Incomplete reductive citrate cycle,Pyruvate ferredoxin oxidoreductase alpha subunit,porA,1.2.7.1,M00620,K00169,R01196,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase beta subunit,porB,,,K00170,,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase delta subunit,porD,,,K00171,,7,NA,,,,,
,Pyruvate ferredoxin oxidoreductase gamma subunit,"porC, porG",,,K00172,,11,NA,,,,,
,Pyruvate carboxylase subunit A,pycA,6.4.1.1,,K01959,R00344,10,NA,,,,,
,Pyruvate carboxylase subunit B,pycB,,,K01960,,46,NA,,,,,
,Malate dehydrogenase,mdh,1.1.1.37,,K00024,R00342,45,NA,,,,,
,Fumarate hydratase subunit alpha ,fumA,4.2.1.2,,K01677,R01082,31,NA,,,,,
,Fumarate hydratase subunit beta ,fumB,,,K01678,,32,NA,,,,,
,Fumarate reductase (CoM/CoB) subunit A,tfrA,1.3.4.1,,K18209,R10660,0,NA,,,,,
,Fumarate reductase (CoM/CoB) subunit B,tfrB,,,K18210,,0,NA,,,,,
,Succinyl-CoA synthetase alpha subunit,sucD,6.2.1.5,,K01902,R00405,56,NA,,,,,
,Succinyl-CoA synthetase beta subunit,sucC,,,K01903,,54,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,"korA, oorA , oforA","1.2.7.3, 1.2.7.11",,K00174,R01197,31,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,"korB, oorB, oforB",,,K00175,,47,NA,,,,,
,2-Oxoglutarate ferredoxin oxidoreductase subunit delta ,"korD, oorD",1.2.7.3,,K00176,,26,NA,,,,,
,2-Oxoglutarate ferredoxin oxidoreductase subunit gamma ,"korC, oorC",,,K00177,,17,NA,,,,,
Central carbohydrate metabolism,,,,,,,,,,,,,
Glycolysis,Triosephosphate isomerase (TIM),"TPI, tpiA",5.3.1.1,M00002,K01803,R01015,63,NA,,,,,
,Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating),"GAPDH, gapA",1.2.1.12,,K00134,R01061,61,NA,,,,,
,Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),"gap2, gapB",1.2.1.59,,K00150,R01063,9,NA,,,,,
,Phosphoglycerate kinase,pgk,2.7.2.3,,K00927,R01512,62,NA,,,,,
,Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) ,gapor,1.2.7.6,,K11389,R07159,2,NA,,,,,
,"2,3-Bisphosphoglycerate-dependent phosphoglycerate mutase ","PGAM, gpmA",5.4.2.11,,K01834,R01518,30,NA,,,,,
,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase ",gpmI,5.4.2.12,,K15633,,50,NA,,,,,
,"2,3-Bisphosphoglycerate-dependent phosphoglycerate mutase ",gpmB,5.4.2.11,,K15634,,16,NA,,,,,
,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase ",apgM,5.4.2.12,,K15635,,10,NA,,,,,
,Enolase 1/2/3,"ENO1_2_3, eno",4.2.1.11,,K01689,R00658,63,NA,,,,,
,Enolase 4,ENO4,,,K27394,,0,NA,,,,,
,Pyruvate kinase,"PK, pyk",2.7.1.40,,K00873,R00200,58,NA,,,,,
,Pyruvate kinase isozymes R/L,PKLR,,,K12406,,0,NA,,,,,
Gluconeogenesis,Phosphoenolpyruvate carboxykinase (GTP),"pckA, PCK",4.1.1.32,M00003,K01596,"R00431,
R00726",27,NA,,,,,
,Phosphoenolpyruvate carboxykinase (ATP),pckA,4.1.1.49,,K01610,R00341,47,NA,,,,,
,Enolase 1/2/3,"ENO1_2_3, eno",4.2.1.11,,K01689,R00658,63,NA,,,,,
,Enolase 4,ENO4,,,K27394,,0,NA,,,,,
,"2,3-Bisphosphoglycerate-dependent phosphoglycerate mutase ","PGAM, gpmA",5.4.2.11,,K01834,R01518,30,NA,,,,,
,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase ",gpmI,5.4.2.12,,K15633,,50,NA,,,,,
,"2,3-Bisphosphoglycerate-dependent phosphoglycerate mutase ",gpmB,5.4.2.11,,K15634,,16,NA,,,,,
,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase ",apgM,5.4.2.12,,K15635,,10,NA,,,,,
,Phosphoglycerate kinase,pgk,2.7.2.3,,K00927,R01512,62,NA,,,,,
,Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) ,"GAPDH, gapA",1.2.1.12,,K00134,R01061,61,NA,,,,,
,"Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) 
(phosphorylating)","gap2, gapB",1.2.1.59,,K00150,R01063,9,NA,,,,,
,Triosephosphate isomerase (TIM),"TPI, tpiA",5.3.1.1,,K01803,R01015,63,NA,,,,,
,"Fructose-bisphosphate aldolase, class I",ALDO,4.1.2.13,,K01623,R01068,21,NA,,,,,
,"Fructose-bisphosphate aldolase, class II","FBA, fbaA",,,K01624,,43,NA,,,,,
,"Fructose-bisphosphate aldolase, class I",fbaB,,,K11645,,15,NA,,,,,
,"Fructose-1,6-bisphosphatase I ","FBP, fbp",3.1.3.11,,K03841,R00762,30,NA,,,,,
,"Fructose-1,6-bisphosphatase II",glpX,,,K02446,,24,NA,,,,,
,"Fructose-1,6-bisphosphatase I / Sedoheptulose-1,7-bisphosphatase",fbp-SEBP,"3.1.3.11, 
3.1.3.37",,K11532,,22,NA,,,,,
,,,,,K01086,,7,NA,,,,,
,"Fructose-1,6-bisphosphatase III",fbp3,3.1.3.11,,K04041,,1,NA,,,,,
,"Fructose 1,6-bisphosphate aldolase/phosphatase",K01622,"4.1.2.13,
3.1.3.11",,K01622,"R00762,
R01068",0,NA,,,,,
Pyruvate oxidation,Pyruvate dehydrogenase E1 component,aceE,1.2.4.1,M00307,K00163,"R00209,
R01699",29,NA,,,,,
,Pyruvate dehydrogenase E1 component subunit alpha,pdhA,,,K00161,,37,NA,,,,,
,Pyruvate dehydrogenase E1 component subunit beta,pdhB,,,K00162,,36,NA,,,,,
,Pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase),"DLAT, aceF, pdhC",2.3.1.12,,K00627,R00209,58,NA,,,,,
,Dihydrolipoyl dehydrogenase,"DLD, lpd, pdhD",1.8.1.4,,K00382,,61,NA,,,,,
,Pyruvate ferredoxin oxidoreductase alpha subunit,porA,1.2.7.1,,K00169,R01196,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase beta subunit,porB,,,K00170,,10,NA,,,,,
,Pyruvate ferredoxin oxidoreductase delta subunit,porD,,,K00171,,7,NA,,,,,
,Pyruvate ferredoxin oxidoreductase gamma subunit,"porC, porG",,,K00172,,11,NA,,,,,
,2-Oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit,"vorG, porG","1.2.7.7,
1.2.7.1",,K00189,,2,NA,,,,,
,Pyruvate-ferredoxin/flavodoxin oxidoreductase,"por, nifJ",1.2.7.1,,K03737,R01196,27,NA,,,,,
Citric acid (TCA/Krebs) cycle,Citrate synthase,"CS, gltA",2.3.3.1,M00009,K01647,R00351,57,NA,,,,,
,Citrate (Re)-synthase,E2.3.3.3,2.3.3.3,,K05942,,0,NA,,,,,
,2-Methylcitrate synthase,prpC,2.3.3.5,,K01659,,15,NA,,,,,
,Aconitate hydratase,ACO,4.2.1.3,,K01681,"R01342,
R01325,
R01900",55,NA,,,,,
,Aconitate hydratase A / 2-methylisocitrate dehydratase,acnA,"4.2.1.3,
4.2.1.99",,K27802,,0,NA,,,,,
,Aconitate hydratase 2 / 2-methylisocitrate dehydratase,acnB,,,K01682,,23,NA,,,,,
,Isocitrate dehydrogenase (NAD+),IDH3,1.1.1.41,,K00030,R00709,10,NA,,,,,
,Isocitrate dehydrogenase,"IDH1, IDH2, icd",1.1.1.42,,K00031,"R00267,
R00268,
R01899",57,NA,,,,,
,2-Oxoglutarate dehydrogenase E1 component,"OGDH, sucA",1.2.4.2,,K00164,"R00621,
R01700",0,NA,,,,,
,2-Oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase),"DLST, sucB",2.3.1.61,,K00658,R02570,46,NA,,,,,
,Multifunctional 2-oxoglutarate metabolism enzyme,kgd,"2.2.1.5,
4.1.1.71,
1.2.4.2,
2.3.1.61",,K01616,"R00621,
R01700,
R02570,
R03316",43,NA,,,,,
,Dihydrolipoyl dehydrogenase,"DLD, lpd, 
pdhD",1.8.1.4,,K00382,R07618,61,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,"korA, oorA , oforA","1.2.7.3, 1.2.7.11",,K00174,R01197,31,NA,,,,,
,2-Oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,"korB, oorB, oforB",,,K00175,,47,NA,,,,,
,Succinyl-CoA synthetase alpha subunit,sucD,6.2.1.5,,K01902,R00405,56,NA,,,,,
,Succinyl-CoA synthetase beta subunit,sucC,,,K01903,,54,NA,,,,,
,Succinyl-CoA synthetase alpha subunit,LSC1,"6.2.1.4,
6.2.1.5",,K01899,"R00432,
R00727",0,NA,,,,,
,Succinyl-CoA synthetase beta subunit,LSC2,,,K01900,,0,NA,,,,,
,Succinyl-CoA acetate CoA-transferase ,"aarC, cat1",2.8.3.18,,K18118,R10343,23,NA,,,,,
,Succinate dehydrogenase (ubiquinone) flavoprotein subunit,"SDHA, SDH1",1.3.5.1,,K00234,R02164,0,NA,,,,,
,Succinate dehydrogenase (ubiquinone) iron-sulfur subunit ,"SDHB, SDH2",,,K00235,,0,NA,,,,,
,Succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,"SDHC, SDH3",NA,,K00236,,0,NA,,,,,
,Succinate dehydrogenase (ubiquinone) membrane anchor subunit,"SDHD, SDH3",NA,,K00237,,0,NA,,,,,
,Succinate dehydrogenase (ubiquinone) subunit 4,SDH4,NA,,K25801,,0,NA,,,,,
,Succinate dehydrogenase flavoprotein subunit,"sdhA, frdA",1.3.5.1,,K00239,,54,NA,,,,,
,Succinate dehydrogenase iron-sulfur subunit,"sdhB, frdB",,,K00240,,51,NA,,,,,
,Succinate dehydrogenase cytochrome b subunit,"sdhC, frdC",NA,,K00241,,51,NA,,,,,
,Succinate dehydrogenase flavoprotein subunit,frdA,1.3.5.1,,K00244,,49,NA,,,,,
,Succinate dehydrogenase iron-sulfur subunit,frdB,,,K00245,,25,NA,,,,,
,Succinate dehydrogenase subunit C,frdC,NA,,K00246,,6,NA,,,,,
,"Fumarate hydratase, class I","fumA, fumB",4.2.1.2,,K01676,R01082,31,NA,,,,,
,Fumarate hydratase subunit alpha ,fumA,,,K01677,,31,NA,,,,,
,Fumarate hydratase subunit beta ,fumB,,,K01678,,32,NA,,,,,
,"Fumarate hydratase, class II","fumC, FH",,,K01679,,52,NA,,,,,
,Malate dehydrogenase,mdh,1.1.1.37,,K00024,R00342,45,NA,,,,,
,,MDH1,,,K00025,,0,NA,,,,,
,,MDH2,,,K00026,,0,NA,,,,,
,Malate dehydrogenase (quinone),mqo,1.1.5.4,,K00116,R00361,9,NA,,,,,
Pentose phosphate cycle,Hexose-6-phosphate dehydrogenase,H6PD,"1.1.1.47,
3.1.1.31",M00004,K13937,R02736,0,NA,,,,,
,Glucose-6-phosphate 1-dehydrogenase,"G6PD, zwf","1.1.1.49,
1.1.1.363",,K00036,,33,NA,,,,,
,NAD+ dependent glucose-6-phosphate dehydrogenase,azf,1.1.1.388,,K19243,R10907,4,NA,,,,,
,6-Phosphogluconolactonase,"PGLS, pgl,
devB",3.1.1.31,,K01057,R02035,32,NA,,,,,
,,pgl,,,K07404,,4,NA,,,,,
,6-Phosphogluconate dehydrogenase ,"PGD, gnd,
gntZ","1.1.1.44,
1.1.1.343",,K00033,"R01528,
R10221",27,NA,,,,,
,Ribulose-phosphate 3-epimerase ,rpe,5.1.3.1,,K01783,R01529,61,NA,,,,,
,Ribose 5-phosphate isomerase A,rpiA,5.3.1.6,,K01807,R01056,36,NA,,,,,
,Ribose 5-phosphate isomerase B,rpiB,,,K01808,,35,NA,,,,,
,Transketolase,"tktA, tktB",2.2.1.1,,K00615,R01067 ,61,NA,,,,,
,Transaldolase,"TALD01, talB, talA",2.2.1.2,,K00616,R08575,51,NA,,,,,
,Glucose-6-phosphate isomerase,"GPI, pgi",5.3.1.9,,K01810,R13199,57,NA,,,,,
,"Glucose-6-phosphate isomerase, archaeal",pgi1,,,K06859,"R13199,
R02739",2,NA,,,,,
,Glucose/mannose-6-phosphate isomerase,pgi-pmi,"5.3.1.9,
5.3.1.8",,K15916,,7,NA,,,,,
,Transaldolase / glucose-6-phosphate isomerase,tal-pgi,"2.2.1.2,
5.3.1.9",,K13810,,5,NA,,,,,
Archaeal pentose phosphate cycle,6-Phospho-3-hexuloisomerase,hxlB,5.3.1.27,M00580,K08094,R05339,4,NA,,,,,
,3-Hexulose-6-phosphate synthase,hxlA,4.1.2.43,,K08093,R05338,4,NA,,,,,
,Bifunctional enzyme Fae/Hps,fae-hps,"4.2.1.147,
4.1.2.43",,K13812,,2,NA,,,,,
,3-Hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase,hps-phi,"4.1.2.43,
5.3.1.27",,K13831,"R05338,
R05339",4,NA,,,,,
,Ribose 5-phosphate isomerase A,rpiA,5.3.1.6,,K01807,R01056,36,NA,,,,,
Entner-Doudouroff pathway,Glucose-6-phosphate 1-dehydrogenase,"G6PD, zwf","1.1.1.49,
1.1.1.363",M00008,K00036,R02736,33,NA,,,,,
,6-Phosphogluconolactonase,"PGLS, pgl, 
devB",3.1.1.31,,K01057,R02035,32,NA,,,,,
,,pgl,,,K07404,,18,NA,,,,,
,Phosphogluconate dehydratase,edd,4.2.1.12,,K01690,R02036,24,NA,,,,,
,"2-Dehydro-3-deoxyphosphogluconate aldolase /
(4S)-4-hydroxy-2-oxoglutarate aldolase",eda,"4.1.2.14,
4.1.3.42",,K01625,R05605,,NA,,,,,
Ribulose monophosphate (RuMP) pathway,3-Hexulose-6-phosphate synthase,hxlA,4.1.2.43,M00345,K08093,R05338,4,NA,,,,,
,Bifunctional enzyme Fae/Hps,fae-hps,"4.2.1.147,
4.1.2.43",,K13812,,2,NA,,,,,
,6-Phospho-3-hexuloisomerase,hxlB,5.3.1.27,,K08094,R05339,4,NA,,,,,
,3-Hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase,hps-phi,"4.1.2.43,
5.3.1.27",,K13831,"R05338,
R05339",4,NA,,,,,
,6-phosphofructokinase 1,"pfkA, PFK",2.7.1.11,,K00850,R00756,41,NA,,,,,
,6-phosphofructokinase 2,pfkB,,,K16370,,15,NA,,,,,
,ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase,"pfk, pfp","2.7.1.11,
2.7.1.90",,K21071,,34,NA,,,,,
,"Fructose-bisphosphate aldolase, class II","FBA, fbaA",4.1.2.13,,K01624,R01068,43,NA,,,,,
Aerobic heterotrophy,,,,,,,,,,,,,
Alkane activation,Alkane 1-monooxygenase ,alkB,1.14.15.3,map00071,K00496,R02281,19,Y,,,,,
BTEX: benzene ? catechol,Benzene dioxygenase subunit alpha,"todC1, bedC1, tcbAa",1.14.12.3,M00547,K03268,R03543,4,Y,,,,,
,Benzene dioxygenase subunit beta,"todC2, bedC2, tcbAb",,,K16268,,4,NA,,,,,
,Benzene dioxygenase ferredoxin component,"todB, tcbAc",NA,,K18089,,1,NA,,,,,
,Benzene dioxygenase ferredoxin reductase component,"todA, tcbAd",1.18.1.3,,K18090,,4,NA,,,,,
,"cis-1,2-Dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol 
dehydrogenase","todD, tcbB",1.3.1.19,,K16269,R00812,0,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P0,"dmpK, poxA",NA,M00548,K16249,"R10042, R10043",8,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P3/A3,"dmpN, poxD",1.14.13.244,,K16242,,9,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P1/A1,"dmpL, poxB",,,K16243,,7,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P2/A2,"dmpM, poxC",,,K16244,,7,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P4/A4,"dmpO, poxE",,,K16245,,7,NA,,,,,
,Phenol/toluene 2-monooxygenase (NADH) P5/A5,"dmpP, poxF",,,K16246,,14,NA,,,,,
"BTEX: toluene ? benzoate/
3-methylcatechol",Toluene monooxygenase system protein A,tmoA,1.14.13.236,M00538,K15760,R02550,5,NA,,,,,
,Toluene monooxygenase system protein B,tmoB,,,K15761,,3,NA,,,,,
,Toluene monooxygenase system protein D,tmoD,,,K15763,,3,NA,,,,,
,Toluene monooxygenase system protein E,tmoE,,,K15764,,5,NA,,,,,
,Aryl-alcohol dehydrogenase,NA,1.1.1.90,,K00055,R01763,5,NA,,,,,
,Benzaldehyde dehydrognease (NAD),xylC,1.2.1.28,,K00141,R01419,2,NA,,,,,
,Toluene dioxygenase subunit alpha,"todC1, bedC1, tcbAa",1.14.12.3,M00547,K03268,R03543,4,Y,,,,,
,Toluene dioxygenase subunit beta,"todC2, bedC2, tcbAb",,,K16268,,4,NA,,,,,
,Toluene dioxygenase ferredoxin component,"todB, tcbAc",NA,,K18089,,1,NA,,,,,
,Toluene dioxygenase ferredoxin reductase component,"todA, tcbAd",1.18.1.3,,K18090,,4,NA,,,,,
,"cis-1,2-Dihydrobenzene-1,2-diol/chlorobenzene dihydrodiol 
dehydrogenase","todD, tcbB",1.3.1.19,,K16269,R00812,0,NA,,,,,
,"3-Methylcatechol 2,3-dioxygenase",todE,1.3.11.-,,K16270,R04089,2,NA,,,,,
,"2-Hydroxy-6-oxohepta-2,4-dienoate hydrolase",todF,3.7.1.25,,K10702,R05138,6,NA,,,,,
BTEX: ethylbenzene ? propanoate,Ethylbenzene dioxygenase subunit alpha,etbAa,1.14.12.-,map00642,K14758,R05540,0,ND,,,,,
,Ethylbenzene dioxygenase subunit beta,etbAb,,,K14759,,5,,,,,,
